Segment>>,Consumer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Consumer Total,Corporate,Unnamed: 7,Unnamed: 8,Unnamed: 9,Corporate Total,Home Office,Unnamed: 12,Unnamed: 13,Unnamed: 14,Home Office Total
Ship Mode>>,First Class,Same Day,Second Class,Standard Class,-1.6689712624554668e-17,First Class,Same Day,Second Class,Standard Class,-2.6770475832846935e-17,First Class,Same Day,Second Class,Standard Class,8.449141758494671e-17
Order ID,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-100293,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,91.056,-0.3842388388997592
CA-2011-100706,,,129.44,,-0.11004089483966265,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-100895,,,,605.47,-0.040157660686196875,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-100916,,,,,-1.6689712624554668e-17,,,,788.86,-0.04570370998153029,,,,,8.449141758494671e-17
CA-2011-101266,,,13.36,,-0.12708193389294567,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-101560,,,,,-1.6689712624554668e-17,,,542.34,,-0.10375315382720625,,,,,8.449141758494671e-17
CA-2011-101770,,,,,-1.6689712624554668e-17,,,,1.869,-0.23102088449699507,,,,,8.449141758494671e-17
CA-2011-102274,,,,,-1.6689712624554668e-17,,,,865.5,-0.02765686032903716,,,,,8.449141758494671e-17
CA-2011-102673,,,,,-1.6689712624554668e-17,,,,1044.44,0.014479142760956597,,,,,8.449141758494671e-17
CA-2011-102988,,,,,-1.6689712624554668e-17,,,4251.92,,0.7697624063749788,,,,,8.449141758494671e-17
CA-2011-103317,,,,,-1.6689712624554668e-17,242.546,,,,-0.17434732455684515,,,,,8.449141758494671e-17
CA-2011-103366,149.95,,,,-0.10702993936944526,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-103807,,,,,-1.6689712624554668e-17,,,,21.19,-0.22647126051296818,,,,,8.449141758494671e-17
CA-2011-103989,,,,,-1.6689712624554668e-17,590.762,,,,-0.09235095453345599,,,,,8.449141758494671e-17
CA-2011-104283,,,,616.14,-0.03859125918121299,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-106054,,,,,-1.6689712624554668e-17,12.78,,,,-0.2284516102725907,,,,,8.449141758494671e-17
CA-2011-106810,,,,,-1.6689712624554668e-17,,,,310.88,-0.15825633520202437,,,,,8.449141758494671e-17
CA-2011-107573,,,,23.472,-0.12559744916769758,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-107811,,,,,-1.6689712624554668e-17,,,,661.504,-0.075692939944251,,,,,8.449141758494671e-17
CA-2011-108707,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,10.368,-0.4142222725087931
CA-2011-109043,243.6,,,,-0.0932817199747179,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-109232,,,545.94,,-0.04889691856733003,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-110100,,,,302.376,-0.0846531525092134,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-110408,,,,,-1.6689712624554668e-17,,,2216.8,,0.29054131210590506,,,,,8.449141758494671e-17
CA-2011-110422,,,25.248,,-0.1253367247934847,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-111500,,,,,-1.6689712624554668e-17,,,,484.79,-0.11730477435827331,,,,,8.449141758494671e-17
CA-2011-111934,,,,,-1.6689712624554668e-17,47.32,,,,-0.22031828319799368,,,,,8.449141758494671e-17
CA-2011-112718,,,,,-1.6689712624554668e-17,,,,1.167,-0.23118618836515856,,,,,8.449141758494671e-17
CA-2011-113047,,11.85,,,-0.1273036083327325,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-113166,9.568,,,,-0.1276386156649137,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-114314,,,,,-1.6689712624554668e-17,,,,16.23,-0.22763921946751367,,,,,8.449141758494671e-17
